filepath,label,contrast,energy,homogeneity,correlation
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\0008f3d3-2f85-4973-be9a-1b520b8b59fc___JR_HL 4092.JPG,healthy,8.742207757583524,0.12461941166420953,0.556548037281318,0.8757783984810414
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\0008f3d3-2f85-4973-be9a-1b520b8b59fc___JR_HL 4092_180deg.JPG,healthy,8.738428254660642,0.12460054775368677,0.5565581656471563,0.8758189434408062
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\0008f3d3-2f85-4973-be9a-1b520b8b59fc___JR_HL 4092_flipTB.JPG,healthy,8.738412380297376,0.12461506343851657,0.5565560060261261,0.875814419718127
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\002efba9-09b3-43de-93b7-5c2460185cde___JR_HL 9655.JPG,healthy,2.7688146588847338,0.23623149721627934,0.6419486479676536,0.8768847072475502
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\0048afb8-b950-4c57-9e72-7e26282327ee___JR_HL 9765.JPG,healthy,5.25517420267134,0.24196111734263126,0.6078215630483307,0.8297205717105424
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\0048afb8-b950-4c57-9e72-7e26282327ee___JR_HL 9765_180deg.JPG,healthy,5.25517420267134,0.24196111734263126,0.6078215630483307,0.8297205717105424
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\0048afb8-b950-4c57-9e72-7e26282327ee___JR_HL 9765_flipTB.JPG,healthy,5.25517420267134,0.24196111734263126,0.6078215630483307,0.8297205717105421
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\005f183c-0a73-4738-91f7-c0a0e02cd9e3___JR_HL 9679.JPG,healthy,3.844025639480183,0.24387035180702146,0.6332243237012537,0.9057459702989568
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\0086a8c7-1440-423e-939d-d0567b1fc4e4___JR_HL 4277.JPG,healthy,8.51407238306078,0.11727681147498954,0.588301126318084,0.884177052164711
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\0086a8c7-1440-423e-939d-d0567b1fc4e4___JR_HL 4277_180deg.JPG,healthy,8.514106919071693,0.11727500503745326,0.5882736542309954,0.8841830322824603
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\0086a8c7-1440-423e-939d-d0567b1fc4e4___JR_HL 4277_flipTB.JPG,healthy,8.514106919071693,0.11727500503745326,0.5882736542309954,0.8841830322824603
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\00a8e886-d172-4261-85e2-780b3c50ad4d___JR_HL 4156.JPG,healthy,5.541737457777845,0.16495481896424627,0.605281192897917,0.8717310952985496
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\011f07d1-8813-4a63-99c7-e274ab5cc261___JR_HL 4165.JPG,healthy,5.591627436793804,0.1445785477922344,0.5584043376492462,0.811821830757321
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\011f07d1-8813-4a63-99c7-e274ab5cc261___JR_HL 4165_180deg.JPG,healthy,5.591804131247808,0.1445731646250029,0.5583688499844045,0.811829871227134
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\011f07d1-8813-4a63-99c7-e274ab5cc261___JR_HL 4165_flipTB.JPG,healthy,5.591804131247808,0.1445731646250029,0.5583688499844044,0.8118298712271339
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\014161fb-3c15-414b-9af3-00cb51a11d7c___JR_HL 9842.JPG,healthy,5.372530803134936,0.17801050684471897,0.5611497564997459,0.828482808484257
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\014161fb-3c15-414b-9af3-00cb51a11d7c___JR_HL 9842_180deg.JPG,healthy,5.372530803134936,0.17801050684471897,0.5611497564997459,0.828482808484257
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\014161fb-3c15-414b-9af3-00cb51a11d7c___JR_HL 9842_flipTB.JPG,healthy,5.372530803134937,0.17801050684471897,0.5611497564997459,0.8284828084842569
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\01958ee7-f585-4956-90aa-a40dc79102d4___JR_HL 9836.JPG,healthy,4.098744586412843,0.22960260654496245,0.6395541922755446,0.8002451055390907
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\01958ee7-f585-4956-90aa-a40dc79102d4___JR_HL 9836_180deg.JPG,healthy,4.098744586412843,0.22960260654496245,0.6395541922755446,0.8002451055390907
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\01958ee7-f585-4956-90aa-a40dc79102d4___JR_HL 9836_flipTB.JPG,healthy,4.098744586412842,0.22960260654496245,0.6395541922755446,0.8002451055390907
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\02818f40-58e6-4c7d-bfbc-372d89b2045b___JR_HL 4259.JPG,healthy,4.93738487371278,0.13645103474523085,0.6365080175649164,0.8846644826086947
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\02818f40-58e6-4c7d-bfbc-372d89b2045b___JR_HL 4259_180deg.JPG,healthy,4.933728219088484,0.136450964898917,0.6365106608764811,0.8847354458422135
C:\Users\ksstr\Documents\Coding\milestone-project-5\inputs\cherry_leaves_dataset\healthy\02818f40-58e6-4c7d-bfbc-372d89b2045b___JR_HL 4259_flipTB.JPG,healthy,4.937384873712779,0.13645103474523085,0.6365080175649164,0.8846644826086947
